race number,first_name,points,time
2087,Will,200,1:22:12 
285,Sylvain,200,1:23:20 
91,Emma,200,1:23:50 
1,Kiana,200,1:24:50 
84,Clelia,200,1:24:50 
9955,Alex,200,1:26:50
422,Andrea,200,1:27:40 
23,Alex,200,1:27:53 
6171,christian,200,1:28:50 
1667,Stephan,200,1:30:00 
2038,fabian,150,1:26:00 
44,Ivan,150,1:29:35 
5292,Jasper,150,1:29:50 
329,Immanuel,100,1:25:40 
9,Manuel,100,1:28:40 
9,Livia,100,1:28:40 
4812,josh,100,1:29:00 
108,Moritz,100,1:29:20 
560,dominik,100,1:29:30 
123,Alice,100,1:29:45 
3924,Eric,100,1:30:35 
850,Loris,100,1:32:00 
24,Olaf,50,1:28:35 
